	0L	1D	2*	3/	4=	5< 	6> 	7!	8.	9(	10)	11{	12}	13,	14;	15-	16+	17b	18other
0	6	3	2	8	18	12	15	21	5	29	30	24	23	25	26	27	28	0	1
1	Error, illegal character in input!																		
2	Mop *																		
3	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4
4	Num Lit																		
5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	Word																		
8	11	11	9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
10	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
11	Dop																		
12	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14
13	Relop < =																		
14	Relop <																		
15	17	17	17	17	16	17	17	17	17	17	17	17	17	17	17	17	17	17	17
16	Relop >=																		
17	Relop >																		
18	19	19	19	19	20	19	19	19	19	19	19	19	19	19	19	19	19	19	19
19	Assign =																		
20	Relop ==																		
21	1	1	1	1	22	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22	!=																		
23	RB }																		
24	LB {																		
25	Comma																		
26	Semi Colon ;																		
27	Sop -																		
28	Addop +																		
29	LP (																		
30	RP )																		
