	0$CLASS	1var	2 LB	3$CONST	4assign	5NumLit	6semi	7$VAR	8Comma	9other	11proc
0	1	12	12	12	12	12	12	12	12	12	12
1	12	2	12	12	12	12	12	12	12	12	12
2	12	12	3	12	12	12	12	12	12	12	12
3	12	10	12	4	12	12	12	8	12	12	13
4	12	5	12	12	12	12	12	12	12	12	12
5	12	12	12	12	6	12	12	12	12	12	12
6	12	12	12	12	12	7	12	12	12	12	12
7	12	12	12	12	12	12	3	12	4	12	12
8	8	9	8	8	8	8	3	8	8	8	8
9	12	12	12	12	12	12	3	12	8	12	12
10	10	10	10	10	10	11	10	10	10	10	13
11	10	10	10	10	10	10	10	10	10	10	10
12	error invalid format										
13	12	14	12	12	12	12	12	12	12	12	12
14	14	14	3	14	14	14	14	14	14	14	14
