Opereator Precedence Table:
         CLASS  {  }  CONST  ;  ,  =  VAR  PROCEDURE  (  )  CALL  IF  THEN  WHILE  DO  ODD  ==  !=  >  <  >=  <=  +  -  *  /
CLASS        0  =  0      0  0  0  0    0          0  <  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
{            0  <  <      0  <  0  0    <          <  0  0     <   <     0      <   0    0   0   0  0  0   0   0  0  0  0  0
}            0  0  0      0  0  0  0    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
CONST        0  0  0      0  =  <  <    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
;            0  0  <      0  <  0  0    0          0  0  0     <   <     0      <   0    0   0   0  0  0   0   0  0  0  0  0
,            0  0  0      0  >  >  =    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
=            0  0  0      0  >  >  0    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  <  <  0  0
VAR          0  0  0      0  =  0  0    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  0  >  0  0
PROCEDURE      0  >  0      0  0  0  0    0          0  =  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
(            0  >  >      0  >  0  0    0          0  0  =     0   0     0      0   0    0   0   0  0  0   0   0  <  <  0  0
)            0  =  >      0  >  0  0    0          0  0  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
CALL         0  0  >      0  >  0  0    0          0  =  0     0   0     0      0   0    0   0   0  0  0   0   0  0  0  0  0
IF           0  0  0      0  0  0  0    0          0  0  0     0   0     =      0   0    <   <   <  <  <   <   <  <  <  0  0
THEN         0  0  <      0  <  0  0    0          0  0  0     <   <     0      <   0    0   0   0  0  0   0   0  0  0  0  0
WHILE        0  0  0      0  0  0  0    0          0  0  0     0   0     0      0   =    <   <   <  <  <   <   <  <  <  0  0
DO           0  0  <      0  <  0  0    0          0  0  0     <   <     0      <   0    0   0   0  0  0   0   0  0  0  0  0
ODD          0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
==           0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
!=           0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
>            0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
<            0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
>=           0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
<=           0  0  0      0  0  0  0    0          0  0  0     0   0     >      0   >    0   0   0  0  0   0   0  <  <  0  0
+            0  0  >      0  >  0  0    0          0  0  <     0   0     >      0   >    0   >   >  >  >   >   >  >  >  <  <
-            0  0  >      0  >  0  0    0          0  0  <     0   0     >      0   >    0   >   >  >  >   >   >  >  >  <  <
*            0  0  >      0  >  0  0    0          0  0  <     0   0     >      0   >    0   >   >  >  >   >   >  >  >  >  >
/            0  0  >      0  >  0  0    0          0  0  <     0   0     >      0   >    0   >   >  >  >   >   >  >  >  >  >

